Gene Name,Classification ID,Cluster_Top_Terms
Atp5j,-1,
Ddx5,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Ndfip1,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Atp5d,-1,
Tcf25,-1,
Atp5o,-1,
Rps3,1,Ribosome
Vsnl1,-1,
Rtn4,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Mobp,-1,
Pgam1,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Ndufa2,0,Non-alcoholic fatty liver disease (NAFLD) | Retrograde endocannabinoid signaling | Parkinson disease
Atpif1,-1,
Ftl1,-1,
Gpi1,-1,
Cox6b1,3,Oxidative phosphorylation | Cardiac muscle contraction | Parkinson disease
Map1b,2,Cholesterol metabolism
Cplx1,8,Synaptic vesicle cycle | Insulin secretion | Vasopressin-regulated water reabsorption
Rpl35,1,Ribosome
Maged1,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Ppp2r1a,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Rpl29,1,Ribosome
Nptn,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Snhg11,-1,
Ywhab,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Gabbr1,-1,
Tuba4a,-1,
Mtch1,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Syt1,8,Synaptic vesicle cycle | Insulin secretion | Vasopressin-regulated water reabsorption
Atp2a2,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Prkar1b,-1,
Hba-a1,-1,
Lrrc17,-1,
Cox5a,3,Oxidative phosphorylation | Cardiac muscle contraction | Parkinson disease
Mlf2,-1,
Cplx2,8,Synaptic vesicle cycle | Insulin secretion | Vasopressin-regulated water reabsorption
Nsg2,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Ndufa3,0,Non-alcoholic fatty liver disease (NAFLD) | Retrograde endocannabinoid signaling | Parkinson disease
Gabarapl1,-1,
Rps9,1,Ribosome
Rpl23a,1,Ribosome
Oaz1,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Ndufb9,0,Non-alcoholic fatty liver disease (NAFLD) | Retrograde endocannabinoid signaling | Parkinson disease
Tle5,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Atp6v1e1,5,Glycolysis / Gluconeogenesis | Synaptic vesicle cycle | Oocyte meiosis
Rpl12,1,Ribosome
Tecr,-1,
Rps5,7,Ribosome
