Gene Name,Classification ID,Cluster_Top_Terms
CANX,1,Autophagosome Membrane Docking (GO:0016240) | Positive Regulation Of Lamellipodium Assembly (GO:0010592) | Positive Regulation Of Lamellipodium Organization (GO:1902745)
SRSF11,-1,
ITGAV,3,Regulation Of Apoptotic Process (GO:0042981) | Regulation Of Cell Population Proliferation (GO:0042127) | Negative Regulation Of Programmed Cell Death (GO:0043069)
FLNA,3,Regulation Of Apoptotic Process (GO:0042981) | Regulation Of Cell Population Proliferation (GO:0042127) | Negative Regulation Of Programmed Cell Death (GO:0043069)
ITGA6,3,Regulation Of Apoptotic Process (GO:0042981) | Regulation Of Cell Population Proliferation (GO:0042127) | Negative Regulation Of Programmed Cell Death (GO:0043069)
COX7C,6,"Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123) | Energy Derivation By Oxidation Of Organic Compounds (GO:0015980) | Aerobic Electron Transport Chain (GO:0019646)"
DST,-1,
MAL2,-1,
ACTN1,9,Supramolecular Fiber Organization (GO:0097435) | Actin Filament Organization (GO:0007015) | Intermediate Filament Organization (GO:0045109)
RPL9,2,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
RPL36A,-1,
ZNF207,9,Supramolecular Fiber Organization (GO:0097435) | Actin Filament Organization (GO:0007015) | Intermediate Filament Organization (GO:0045109)
TMED9,1,Autophagosome Membrane Docking (GO:0016240) | Positive Regulation Of Lamellipodium Assembly (GO:0010592) | Positive Regulation Of Lamellipodium Organization (GO:1902745)
RNF187,5,Proteasomal Protein Catabolic Process (GO:0010498) | Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161) | Ubiquitin-Dependent Protein Catabolic Process (GO:0006511)
PSMA7,5,Proteasomal Protein Catabolic Process (GO:0010498) | Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161) | Ubiquitin-Dependent Protein Catabolic Process (GO:0006511)
EIF3H,1,Autophagosome Membrane Docking (GO:0016240) | Positive Regulation Of Lamellipodium Assembly (GO:0010592) | Positive Regulation Of Lamellipodium Organization (GO:1902745)
RPS25,2,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
WNK1,-1,
MYL12A,1,Autophagosome Membrane Docking (GO:0016240) | Positive Regulation Of Lamellipodium Assembly (GO:0010592) | Positive Regulation Of Lamellipodium Organization (GO:1902745)
RPS26,2,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
FUS,9,Supramolecular Fiber Organization (GO:0097435) | Actin Filament Organization (GO:0007015) | Intermediate Filament Organization (GO:0045109)
LCE3D,-1,
CNDP2,-1,
MYL12B,-1,
IVL,0,Keratinocyte Differentiation (GO:0030216) | Epidermal Cell Differentiation (GO:0009913) | Skin Development (GO:0043588)
IGFBP4,-1,
RPS5,2,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
RPL11,2,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
MKNK2,1,Autophagosome Membrane Docking (GO:0016240) | Positive Regulation Of Lamellipodium Assembly (GO:0010592) | Positive Regulation Of Lamellipodium Organization (GO:1902745)
RACK1,3,Regulation Of Apoptotic Process (GO:0042981) | Regulation Of Cell Population Proliferation (GO:0042127) | Negative Regulation Of Programmed Cell Death (GO:0043069)
FTH1,3,Regulation Of Apoptotic Process (GO:0042981) | Regulation Of Cell Population Proliferation (GO:0042127) | Negative Regulation Of Programmed Cell Death (GO:0043069)
EEF1B2,1,Autophagosome Membrane Docking (GO:0016240) | Positive Regulation Of Lamellipodium Assembly (GO:0010592) | Positive Regulation Of Lamellipodium Organization (GO:1902745)
